DME flowrate,Carbon efficiency,CAPEX,OPEX,LCP,Energy efficiency
2.683797117,65.56270021,165465222.7,187661771.4,2.679366797,69.24989618
2.683809534,65.56302453,162655467.5,193929015.6,2.756168039,63.23489192
2.81111406,68.6705628,152945950.4,189275543.4,2.559786314,70.27074946
2.675372487,65.34735791,144097584.5,177483629.1,2.523133568,71.25669593
2.057148157,50.26195752,191538583.6,174236231.2,3.320641448,59.79407796
2.33289731,56.98445113,172759681.6,175288633.5,2.910974336,65.64753886
2.570748723,62.79374811,150293679,176527639.3,2.622737296,69.8163706
2.630900975,64.26230942,147817263.2,177111233.2,2.566634904,70.66125538
2.625125612,64.12068213,148450923.5,176824577.4,2.569474495,70.84725148
2.631052896,64.26600167,147768644.7,177293923.6,2.568822319,70.46184909
2.631056792,64.26610894,148309962.7,176852191.5,2.563828058,70.97150947
2.631045966,64.26584971,147952674,176025017.7,2.552368454,71.88356469
2.631036478,64.26561128,147103336.4,177784042.6,2.574275214,69.90425405
2.631037203,64.26568864,147584100.3,177032795.9,2.565105428,70.74102358
2.631058898,64.26615984,146690982.6,180041036.7,2.603399748,67.54571072
2.631079702,64.26667039,147539022.5,177106134.3,2.565961962,70.65962633
