samples,DME flowrate,Carbon efficiency,CAPEX,OPEX,LCP,Energy efficiency
269,2.009237557,49.07889838,200926838.8,87663245.64,1.922786381,39.55734119
270,2.39315603,58.45905924,162460990.5,103062147.2,1.772194226,66.25791576
271,2.499961775,61.05828895,143012919.1,101051700.3,1.636829806,69.28785898
272,1.887102042,46.09468644,192370009.7,98200999.75,2.222630296,58.32112198
273,2.298524561,56.14573408,160601464.7,100107317.4,1.797220317,66.05118098
274,2.484231406,60.6783452,155347456.8,101726742.7,1.676879545,68.59138603
275,2.296945044,56.1071831,160775707.8,100110366.0,1.798811665,66.01094625
276,2.298567397,56.14678353,160618065.8,100102459.2,1.797142893,66.06019008
277,2.298531953,56.14589362,159373424.2,98992508.69,1.778194942,67.60213783
278,2.298524904,56.14574247,157837269.6,100126990.7,1.792612505,65.87408955
279,2.298524635,56.14574896,160655035.5,100003965.5,1.795754048,66.20063072
280,2.298525043,56.14574588,161274658.1,99576213.95,1.790391431,66.84848172
281,2.298525698,56.14575014,160654382.1,100110479.0,1.797361084,66.04960882
282,2.298526031,56.14575502,160600756.7,67097385.99,1.298560007,66.05124463
283,2.298524754,56.14573927,160601471.9,99305971.71,1.785114805,66.0511843
284,2.298524684,56.14573776,160601483.8,100015332.0,1.795830695,66.05118598
285,2.298525428,56.14575504,162447275.9,146198941.7,2.496768866,33.26454531
286,2.29856486,56.14668578,162057911.5,101263228.3,1.817234295,64.53185952
287,2.298525642,56.14575599,160601259.9,100107337.6,1.797219415,66.05117079
288,2.35160944,57.44404097,163813178.6,87836660.35,1.581040347,66.35416416
289,3.159231762,77.21693094,214089075.2,112511647.2,1.512965282,63.21819673
290,2.472974849,60.40622326,156494237.9,89155728.49,1.509898243,68.31110698
291,1.245566316,30.42800125,237154455.7,76334495.41,2.904484519,43.42917236
292,2.604122407,63.60320529,146856760.0,90125670.13,1.431696467,70.66190339
293,2.848908972,69.58508754,139679508.2,94917641.12,1.356810147,72.69015443
294,2.360984819,57.6730404,164358538.9,87852745.0,1.575940726,66.62742397
295,2.351163866,57.43311196,163290843.2,87894289.75,1.581284978,66.27622109
296,2.3516473,57.44498082,165164358.5,88341246.27,1.590808486,65.97388103
297,2.351620244,57.44430025,162735463.8,87925865.36,1.580481115,66.24473551
298,2.351661935,57.44533463,164592308.8,85955640.54,1.554583085,68.00555374
299,2.351626378,57.44444972,164446530.4,87003802.33,1.569830079,67.08468436
300,2.351621424,57.44433136,163778577.7,87835134.28,1.580949748,66.35466548
301,2.351622802,57.44435961,163812669.9,163957584.1,2.70497248,66.353817
302,2.351622481,57.44435485,163812701.8,87356683.55,1.573943789,66.35381572
303,2.351622386,57.44435236,163812666.3,88927871.48,1.597142727,66.35380708
304,2.351630875,57.4445606,163267732.8,89497220.51,1.604598411,64.96781043
305,2.351609578,57.44403795,163852035.6,87873398.51,1.581650095,66.32449006
306,1.462885887,35.735458,266406736.0,163676394.4,4.62765907,46.04402873
307,1.8659087,45.58865352,348237277.6,228741573.7,5.017762809,41.67790717
308,3.810673977,93.22198483,196059680.2,235555697.8,2.35618128,70.2772478
309,2.157397699,52.71400147,325505679.6,229587977.8,4.310455333,46.86073407
310,1.094667206,26.74607939,338626909.5,218165637.8,8.181730246,29.41234373
311,1.741948188,42.56030737,361806800.8,227946982.8,5.390768871,39.8036155
312,1.791148158,43.76253875,352057998.1,228480050.2,5.230828735,40.28751125
313,1.790811001,43.75428471,351208885.3,228169345.6,5.223855464,40.46070373
314,1.790797295,43.75394526,349593786.4,228635480.5,5.229255138,40.11933354
315,1.790797409,43.75393257,349632047.3,229270898.8,5.241662227,39.71828442
316,1.790797434,43.75394877,348109750.2,229217296.5,5.237155883,39.71534814
317,1.790796155,43.7539279,351476519.9,228501369.4,5.230945993,40.25151442
318,1.790796154,43.75392114,351447377.2,114220323.1,3.015054067,40.25202008
319,1.790797904,43.75396004,351447266.2,228980250.5,5.240159403,40.25206746
320,1.790797894,43.75395979,351447272.5,220103381.8,5.06804365,40.2520676
321,1.790783318,43.75360173,353233304.1,228139021.9,5.227958814,40.5294708
322,1.790795019,43.75388816,351405868.5,228447962.8,5.22975289,40.28411513
323,1.790795931,43.75392244,351447499.1,228499457.4,5.230843481,40.25202175
324,1.242858879,30.36423466,340856696.2,172701083.5,5.943342118,31.62959379
325,1.149146486,28.07257429,302772052.3,150540435.0,5.623253412,33.7529911
326,1.197059764,29.24574793,344328444.5,172668637.1,6.181619765,30.55082703
327,3.592665937,87.81328643,170418222.5,189008659.2,2.020183496,67.39549816
328,1.45277236,35.49324193,324050216.5,174335636.4,5.0764638,35.70898446
329,0.82031228,20.04167461,325243422.1,163901193.0,8.55467588,23.88546975
330,1.320932518,32.27199143,334801857.4,173375986.4,5.591107146,33.15186319
331,1.24659692,30.45586566,340792770.5,172751815.0,5.926724346,31.69995411
332,1.242853543,30.36410101,339478997.1,172077889.5,5.921436197,31.90174964
333,1.242863392,30.36435825,341706753.6,172554901.6,5.94202608,31.71423226
334,1.242865294,30.364402,340376864.1,172997597.7,5.950020663,31.48194465
335,1.242864982,30.36439724,339091045.9,173330586.7,5.955105544,31.30435518
336,1.242863779,30.36434675,340944378.3,172921397.7,5.949761396,31.52772254
337,1.242866199,30.36442769,340856632.5,130809510.3,4.772972951,31.62979738
338,1.242865901,30.36442011,340856640.7,172220242.8,5.929875007,31.62979141
339,1.24286588,30.36441986,340856632.5,170498524.1,5.881775038,31.62978903
340,1.242864859,30.36439434,332064917.7,177722508.9,6.054748114,29.28969341
341,1.242861018,30.36428584,340980109.5,172921603.8,5.949897624,31.52820582
342,3.342559417,81.6958148,177781913.4,168389633.5,1.966139635,52.19838317
343,2.886030812,70.50797487,160533656.9,147354618.3,1.999704836,52.40694182
344,0.952987648,23.28258692,274245356.8,114489808.5,5.345126018,27.1128712
345,2.972617699,72.61452564,154694582.8,148341968.8,1.944978782,53.31465548
346,3.29600355,80.52638931,139498625.6,155049383.4,1.806004911,55.28272822
347,2.949986145,72.07171503,157839243.4,148229733.4,1.96292673,53.05589732
348,2.940855006,71.84784334,158303971.3,148150701.4,1.968732852,52.93875195
349,2.949700311,72.06474311,162338830.3,150677227.6,1.998148915,51.94239247
350,2.949708491,72.06492624,157975636.9,148097834.2,1.961747446,53.11887299
351,2.949693858,72.06456299,157869934.0,147175515.7,1.950753984,53.5794509
352,2.949702398,72.06477654,157537817.7,138163331.3,1.84420281,58.55912736
353,2.949715999,72.06508823,158244383.6,148244647.1,1.963842228,53.0511587
354,2.949697027,72.06464321,158282752.8,183407989.1,2.377831567,53.04794046
355,2.949696809,72.06463785,158282751.0,148732644.3,1.969652491,53.04793736
