formulation,productivity,capex,opex,batches,batch time,cycle time,cost
2.553109656,0.079827751,69305051.05,224285.9542,255,405416.0489,110608.6067,2809.623847
2.553109656,0.042110407,54170078.85,174471.7519,223,433828.5824,126098.2031,4143.197918
2.553109656,0.058500654,60526363.2,199544.4882,223,425837.2407,126098.2031,3410.978754
2.553109656,0.079827751,68889850,233052.2516,223,421416.3109,126098.2031,2919.439007
2.553109656,0.079827751,68872809.14,233025.3294,223,421400.4437,126098.2031,2919.101753
2.553109656,0.079827751,66927771.3,227307.9952,223,417460.2861,126098.2031,2847.480869
2.553109656,0.079827751,68889849.07,233052.1962,223,421416.3109,126098.2031,2919.438314
2.553109656,0.079827751,69797015.04,238057.6903,223,426507.9962,126098.2031,2982.141998
2.553109656,0.079827751,68898909.01,233114.9659,223,422012.7702,126098.2031,2920.224627
2.553109656,0.079827751,68889850.54,233052.2873,223,421416.3109,126098.2031,2919.439454
2.878584255,0.090005538,68879741.24,233024.0797,223,421416.3109,126098.2031,2588.997118
2.000501501,0.079827751,75713692.97,264081.2465,223,421416.3109,126098.2031,3308.138355
2.553109656,0.079827751,68889850.4,233052.2779,223,421416.3109,126098.2031,2919.439336
2.255535257,0.040517425,52709274.99,173587.9956,219,397412.7792,128490.8331,4284.28009
2.255535257,0.040517425,52710071.63,174291.9629,219,391918.0549,128490.8331,4301.654521
2.255535257,0.040517425,52688297.66,172270.4546,220,366945.1847,128490.8332,4251.762202
2.255535257,0.040517425,52719887.54,172314.7305,220,366970.7733,128490.8331,4252.854965
2.255535257,0.040789692,52809780.83,172720.3466,220,366731.8982,128277.5467,4234.411647
2.255535257,0.040517425,52691534.13,173624.7978,219,382957.9902,128490.8331,4285.188393
2.255535257,0.040517425,52879624.09,172510.2867,220,367122.6166,128490.8329,4257.681435
2.255535257,0.063227478,63434855.61,207145.1036,241,356185.2043,117013.8184,3276.187989
2.255535257,0.047207084,55852615.54,182048.0636,228,362417.1083,123962.7568,3856.371687
2.255535257,0.040517425,52691896.52,172284.7186,220,366967.802,128513.4504,4252.114248
2.255535257,0.040517425,55625640.19,186226.6525,200,379471.7378,141017.3863,4596.211487
2.255535257,0.040517425,52688292.83,172270.2128,220,366945.1846,128490.8331,4251.756234
2.255535257,0.040517425,52045162.57,165008.0174,235,358367.0528,119912.7012,4072.519882
2.255535257,0.040517425,52716536.31,171701.1522,222,365537.5607,127083.2092,4237.711397
2.255535257,0.040517425,52688298.26,172270.4846,220,366945.1846,128490.8331,4251.762944
2.000501501,0.035935732,52688448.89,172280.1426,220,366945.1846,128490.8331,4794.11809
2.878584255,0.040517425,48541963.95,157383.4014,220,366945.1846,128490.8331,3884.338723
2.255535257,0.040517425,52688297.66,172270.4545,220,366945.1846,128490.8331,4251.7622
2.255535257,0.040517425,52688297.61,172270.4516,220,366945.1846,128490.8331,4251.762127
1.318216581,0.038661621,62966421.57,246213.7353,160,462002.3264,176138.2031,6368.427638
1.318216581,0.038661621,62977470.45,249177.9543,159,530894.0801,176138.2031,6445.098478
1.318216581,0.038661621,62937238.38,244358.2331,160,437031.3979,176138.2031,6320.434247
1.318216581,0.038661621,62950837.43,246194.1203,160,462002.3261,176138.2031,6367.920286
